Typ,Kapazität,Menge,Lagerort,Spannung
DIP-Schalter (blau),4-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T02, X001J GTBJD"
DIP-Schalter (blau),8-polig,6,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T02, X001J GTBJD"
DIP-Schalter (blau),10-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T02, X001J GTBJD"
DIP-Schalter (blau),12-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T02, X001J GTBJD"
DIP-Schalter (rot),1-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T01, X001J GTBJ3"
DIP-Schalter (rot),2-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T01, X001J GTBJ3"
DIP-Schalter (rot),3-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T01, X001J GTBJ3"
DIP-Schalter (rot),4-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T01, X001J GTBJ3"
DIP-Schalter (rot),8-polig,6,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T01, X001J GTBJ3"
DIP-Schalter (rot),10-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T01, X001J GTBJ3"
DIP-Schalter (rot),12-polig,5,Schreibtisch-Schublade (Plastikbox),"VOGENC GZ072-T01, X001J GTBJ3"
PCB-Streifenraster,"50x100 mm, 2.54 mm Lochabstand",50,Schreibtisch-Schublade (Plastikbox),"Art.-Nr. VKA 7101, Rademacher Elektronik GmbH"
PCB-Streifenraster,"16x10 cm, 2.54 mm Lochabstand",50,Schreibtisch-Schublade (Plastikbox),Hersteller unbekannt
PCB-Lochraster doppelseitig,6x28 Löcher (2.54 mm),5,Schreibtisch-Schublade (Plastikbox),punktloch-metallisiert
PCB-Lochraster doppelseitig,10x24 Löcher (2.54 mm),5,Schreibtisch-Schublade (Plastikbox),punktloch-metallisiert
PCB-Lochraster doppelseitig,14x20 Löcher (2.54 mm),5,Schreibtisch-Schublade (Plastikbox),punktloch-metallisiert
PCB-Lochraster doppelseitig,18x22 Löcher (2.54 mm),5,Schreibtisch-Schublade (Plastikbox),punktloch-metallisiert
PCB-Rohmaterial (einseitig),10x7 cm,20,Schreibtisch-Schublade (Plastikbox),"Kupferkaschiert, zum Ätzen"
PCB-Lochraster (einseitig),6.5x5 cm,100,Schreibtisch-Schublade (Plastikbox),"mit Kupferringen, 4 Befestigungslöcher, einfache Qualität"
PCB-Terminalblock (female),"2-polig, schraubbar",5,Schreibtisch-Schublade (Plastikbox),"Set X001TIBMST, YE-0192WB A02"
PCB-Terminalblock (female),"3-polig, schraubbar",5,Schreibtisch-Schublade (Plastikbox),"Set X001TIBMST, YE-0192WB A02"
PCB-Terminalblock (female),"5-polig, schraubbar",3,Schreibtisch-Schublade (Plastikbox),"Set X001TIBMST, YE-0192WB A02"
PCB-Terminalblock (male),"2-polig, lötbar",5,Schreibtisch-Schublade (Plastikbox),"Set X001TIBMST, YE-0192WB A02"
PCB-Terminalblock (male),"3-polig, lötbar",5,Schreibtisch-Schublade (Plastikbox),"Set X001TIBMST, YE-0192WB A02"
PCB-Terminalblock (male),"5-polig, lötbar",3,Schreibtisch-Schublade (Plastikbox),"Set X001TIBMST, YE-0192WB A02"
Schrumpfschlauch,1 mm x 45 mm,400,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Schrumpfschlauch,1.5 mm x 45 mm,300,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Schrumpfschlauch,2 mm x 45 mm,200,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Schrumpfschlauch,2.5 mm x 45 mm,160,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
